Time in seconds,Temperature,Humidity
1,26.1,73
4,26.1,73
7,26.1,73
10,26.1,73
13,26.1,73
16,26.1,73
19,26.1,73
22,26.1,73
25,26.1,73
28,26,73
31,26,73
34,26,73
37,26,73
40,26,73
43,26,73
46,26,73
49,26,73
52,26,73
55,26,73
58,26,73
61,26,73
65,26,73
68,26,73
71,26,73
74,26,73
77,26,73
80,26,73
83,26,73
86,26,73
89,26,73
92,26,73
95,26,73
98,26,73
101,26,73
104,26,73
107,26,73
110,26,73
113,26,73
116,26,73
119,26,73
122,26,73
125,25.9,72
128,25.9,72
131,26,73
134,26,73
138,25.9,72
141,26,73
144,25.9,72
147,25.9,72
150,25.9,72
153,25.9,72
156,25.9,73
159,25.9,72
162,25.9,73
165,25.9,73
168,25.9,73
171,25.9,73
174,25.9,73
177,25.9,73
180,25.9,73
183,25.9,73
186,25.9,73
189,25.9,73
192,25.9,73
195,25.9,73
198,25.9,73
201,25.9,73
204,25.9,73
207,25.9,73
210,25.9,73
213,25.9,73
216,25.9,73
219,25.9,73
222,25.9,73
226,25.9,73
229,25.9,73
232,25.9,73
235,25.9,73
238,25.9,73
241,25.9,73
244,25.9,73
247,25.9,73
250,25.9,73
253,25.9,73
256,25.9,73
259,25.9,73
262,25.9,73
265,25.9,73
268,25.9,73
271,25.9,73
274,25.9,73
277,25.9,73
280,25.9,73
283,25.9,73
286,25.9,73
289,25.9,73
292,25.9,73
295,25.9,73
298,25.9,73
301,25.8,73
305,25.8,73
308,25.8,73
311,25.8,73
314,25.8,73
317,25.8,73
320,25.8,73
323,25.8,73
326,25.8,73
329,25.8,73
332,25.8,73
335,25.8,73
338,25.8,73
341,25.8,73
344,25.8,73
347,25.8,73
350,25.8,73
353,25.8,73
356,25.8,73
359,25.8,73
362,25.8,73
365,25.8,73
368,25.8,73
371,25.8,73
374,25.8,73
377,25.8,73
380,25.8,73
383,25.8,73
386,25.8,73
389,25.8,73
392,25.8,73
395,25.8,73
398,25.8,73
401,25.8,73
404,25.8,73
407,25.8,73
410,25.8,73
413,25.9,73
416,25.9,72
419,25.8,72
422,25.8,72
426,25.8,72
429,25.8,72
432,25.8,72
435,25.9,72
438,25.9,72
441,25.8,72
444,25.9,72
447,25.9,72
450,25.9,72
453,25.8,72
456,25.9,72
459,25.8,72
462,25.8,72
465,25.8,72
468,25.8,72
471,25.8,72
474,25.8,72
477,25.8,72
480,25.8,72
483,25.8,72
486,25.8,72
489,25.8,72
492,25.8,72
495,25.8,72
498,25.8,72
501,25.8,72
504,25.8,72
507,25.8,72
510,25.8,72
513,25.8,72
516,25.8,72
519,25.8,72
522,25.8,72
526,25.8,73
529,25.8,72
532,25.8,73
535,25.8,73
538,25.8,72
541,25.8,72
544,25.8,73
547,25.8,72
550,25.8,72
553,25.8,72
556,25.9,72
559,25.8,72
562,25.8,72
565,25.8,72
568,25.8,72
571,25.8,72
574,25.8,72
577,25.8,72
580,25.8,72
583,25.8,72
586,25.8,72
589,25.8,72
592,25.8,72
595,25.8,72
598,25.8,72
601,25.8,72
604,25.8,72
608,25.8,72
611,25.7,72
614,25.8,72
617,25.8,72
620,25.8,72
623,25.8,72
626,25.8,72
629,25.8,72
632,25.8,72
635,25.8,72
638,25.8,72
641,25.8,72
644,25.8,72
647,25.8,72
650,25.8,72
653,25.8,72
656,25.8,72
659,25.8,72
662,25.8,72
665,25.8,72
668,25.8,72
671,25.8,72
674,25.8,72
677,25.8,72
680,25.8,72
683,25.8,72
686,25.8,72
689,25.8,72
692,25.8,72
695,25.8,72
698,25.8,72
701,25.8,72
704,25.8,72
708,25.8,72
711,25.8,72
714,25.8,72
717,25.8,72
720,25.8,72
723,25.8,72
726,25.8,72
729,25.8,72
732,25.8,72
735,25.9,72
738,25.8,72
741,25.8,72
744,25.8,72
747,25.8,72
750,25.8,72
753,25.8,72
756,25.8,72
759,25.7,72
762,25.8,72
765,25.7,72
768,25.8,72
771,25.7,72
774,25.8,72
777,25.7,72
780,25.7,72
783,25.8,73
786,25.7,72
789,25.7,72
792,25.7,72
796,25.7,72
799,25.7,72
802,25.7,72
805,25.7,72
808,25.7,73
811,25.7,72
814,25.7,72
817,25.7,73
820,25.7,72
823,25.7,73
826,25.7,72
829,25.7,72
832,25.7,72
835,25.7,72
838,25.7,72
841,25.7,72
844,25.7,72
847,25.7,72
850,25.7,72
853,25.7,72
856,25.7,72
859,25.7,72
862,25.7,72
865,25.7,72
868,25.7,72
871,25.7,72
874,25.7,72
877,25.7,72
880,25.7,72
883,25.7,72
886,25.7,72
889,25.7,72
892,25.7,72
895,25.7,72
898,25.7,72
901,25.7,72
904,25.7,72
907,25.7,72
911,25.7,72
914,25.8,72
917,25.8,72
920,25.7,72
923,25.8,72
926,25.7,72
929,25.8,72
932,25.7,72
935,25.7,72
938,25.7,72
941,25.7,72
944,25.7,72
947,25.7,72
950,25.7,72
953,25.7,72
956,25.7,72
959,25.7,72
962,25.7,72
965,25.7,72
968,25.7,72
971,25.7,72
974,25.7,72
977,25.7,72
980,25.7,72
983,25.7,72
986,25.7,72
989,25.7,72
993,25.7,72
996,25.7,72
999,25.7,72
1002,25.7,72
